CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
341.864,424.111,30,WANDERING
341.059,424.731,30,WANDERING
340.525,425.33,30,WANDERING
339.863,425.904,30,WANDERING
339.323,426.456,30,WANDERING
338.746,426.987,30,WANDERING
338.23,427.498,30,WANDERING
337.712,427.988,30,WANDERING
337.231,428.46,30,WANDERING
336.759,428.913,30,WANDERING
336.313,429.349,30,WANDERING
335.882,429.767,30,WANDERING
334.566,430.17,30,WANDERING
333.875,430.557,30,WANDERING
332.846,430.928,30,WANDERING
332.09,431.286,30,WANDERING
332.119,432.814,20,WANDERING
330.763,430.687,20,DANCING
329.733,430.687,20,DANCING
328.781,430.687,20,DANCING
327.843,430.687,20,DANCING
326.956,430.687,20,DANCING
326.095,430.687,20,DANCING
325.273,430.687,20,DANCING
324.48,430.687,20,DANCING
323.72,430.687,20,DANCING
322.988,430.687,20,DANCING
322.286,430.687,20,DANCING
320.7,430.687,20,DANCING
319.756,430.687,20,DANCING
318.48,430.687,20,DANCING
317.489,430.687,20,DANCING
316.388,430.687,20,DANCING
315.425,430.687,20,DANCING
314.44,430.687,20,DANCING
313.531,430.687,20,DANCING
312.634,430.687,20,DANCING
311.787,430.687,20,DANCING
310.964,430.687,20,DANCING
310.18,430.687,20,DANCING
308.519,430.687,20,DANCING
307.499,430.687,20,DANCING
306.153,430.687,20,DANCING
305.093,430.687,20,DANCING
303.927,430.687,20,DANCING
302.9,430.687,20,DANCING
301.853,430.687,22,WANDERING
300.886,430.687,22,DANCING
299.932,430.687,22,DANCING
299.032,430.687,22,DANCING
298.156,430.687,22,DANCING
297.321,430.687,22,DANCING
296.515,430.687,22,DANCING
295.743,430.687,22,DANCING
295,430.687,22,DANCING
294.286,430.687,22,DANCING
292.689,430.687,22,DANCING
291.733,430.687,22,DANCING
290.448,430.687,22,DANCING
289.446,430.687,22,DANCING
288.336,430.687,22,DANCING
287.363,430.687,22,DANCING
286.369,430.687,22,DANCING
285.452,430.687,22,DANCING
284.547,430.687,22,DANCING
283.693,430.687,22,DANCING
282.862,430.687,22,DANCING
282.07,430.687,22,DANCING
280.402,430.687,22,DANCING
279.376,430.687,22,DANCING
278.025,430.687,22,DANCING
276.958,430.687,22,DANCING
275.786,430.687,22,DANCING
274.754,430.687,22,DANCING
273.702,430.687,22,DANCING
272.73,430.687,22,DANCING
271.772,430.687,24,WANDERING
270.866,430.687,24,DANCING
269.986,430.687,24,DANCING
269.147,430.687,24,DANCING
268.337,430.687,24,DANCING
267.561,430.687,24,DANCING
266.814,430.687,24,DANCING
266.097,430.687,24,DANCING
264.495,430.687,24,DANCING
263.536,430.687,24,DANCING
262.247,430.687,24,DANCING
261.242,430.687,24,DANCING
260.128,430.687,24,DANCING
259.152,430.687,24,DANCING
258.155,430.687,24,DANCING
257.235,430.687,24,DANCING
256.327,430.687,24,DANCING
255.471,430.687,24,DANCING
254.638,430.687,24,DANCING
253.844,430.687,24,DANCING
253.077,430.687,24,DANCING
251.439,430.687,24,DANCING
250.437,430.687,24,DANCING
249.112,430.687,24,DANCING
248.069,430.687,24,DANCING
246.921,430.687,24,DANCING
245.911,430.687,24,DANCING
244.882,430.687,24,DANCING
243.93,430.687,24,DANCING
242.992,430.687,24,DANCING
242.106,430.687,26,WANDERING
241.245,430.687,26,DANCING
240.424,430.687,26,DANCING
239.631,430.687,26,DANCING
238.871,430.687,26,DANCING
238.14,430.687,26,DANCING
237.439,430.687,26,DANCING
235.851,430.687,26,DANCING
234.906,430.687,26,DANCING
233.63,430.687,26,DANCING
232.638,430.687,26,DANCING
231.536,430.687,26,DANCING
230.573,430.687,26,DANCING
229.587,430.687,26,DANCING
228.678,430.687,26,DANCING
227.781,430.687,26,DANCING
226.934,430.687,26,DANCING
226.111,430.687,26,DANCING
225.327,430.687,26,DANCING
223.666,430.687,26,DANCING
222.646,430.687,26,DANCING
221.301,430.687,26,DANCING
220.241,430.687,26,DANCING
219.075,430.687,26,DANCING
218.048,430.687,26,DANCING
217.002,430.687,26,DANCING
216.035,430.687,26,DANCING
215.082,430.687,26,DANCING
214.182,430.687,26,DANCING
213.307,430.687,26,DANCING
212.473,430.687,28,WANDERING
211.668,430.687,28,DANCING
210.896,430.687,28,DANCING
210.154,430.687,28,DANCING
209.441,430.687,28,DANCING
209.63,430.687,28,PATHFINDING
207.853,430.576,28,PATHFINDING
207.42,430.541,28,PATHFINDING
205.294,429.284,28,PATHFINDING
204.351,428.857,28,PATHFINDING
202.75,427.955,28,PATHFINDING
201.663,427.404,28,PATHFINDING
200.337,426.678,28,PATHFINDING
199.249,426.108,28,PATHFINDING
198.09,425.482,28,PATHFINDING
197.055,424.934,28,PATHFINDING
196.016,424.376,28,PATHFINDING
195.051,423.861,28,PATHFINDING
194.107,423.356,28,PATHFINDING
193.214,422.879,28,PATHFINDING
192.351,422.417,28,PATHFINDING
191.53,421.977,28,PATHFINDING
190.739,421.554,28,PATHFINDING
189.983,421.149,28,PATHFINDING
189.257,420.76,28,PATHFINDING
188.563,420.388,28,PATHFINDING
187.076,420.552,28,PATHFINDING
186.176,420.381,28,PATHFINDING
185.978,420.432,28,PATHFINDING
185.378,420.349,28,PATHFINDING
185.086,420.359,28,PATHFINDING
184.64,420.315,28,PATHFINDING
184.335,420.311,28,PATHFINDING
183.215,420.287,28,PATHFINDING
182.69,420.28,28,PATHFINDING
181.869,420.266,28,PATHFINDING
180.262,419.109,28,PATHFINDING
179.256,418.729,28,PATHFINDING
177.958,417.904,28,PATHFINDING
176.935,417.408,28,PATHFINDING
175.82,416.747,28,PATHFINDING
174.845,416.233,28,PATHFINDING
173.856,415.665,28,PATHFINDING
172.949,415.169,28,PATHFINDING
172.059,414.665,28,PATHFINDING
171.223,414.201,28,PATHFINDING
170.416,413.744,28,PATHFINDING
169.651,413.314,28,PATHFINDING
168.916,412.898,28,PATHFINDING
168.216,412.502,28,PATHFINDING
167.545,412.121,28,PATHFINDING
166.905,411.756,28,PATHFINDING
166.293,411.407,28,PATHFINDING
165.708,411.072,28,PATHFINDING
164.524,411.346,28,PATHFINDING
163.793,411.234,28,PATHFINDING
162.852,411.372,28,PATHFINDING
163.838,411.353,28,PATHFINDING
163.594,411.436,28,PATHFINDING
164.123,411.456,28,PATHFINDING
164.153,411.518,28,PATHFINDING
164.492,411.554,28,PATHFINDING
164.627,411.607,28,PATHFINDING
164.883,411.65,28,PATHFINDING
163.909,410.586,28,PATHFINDING
163.751,410.271,28,PATHFINDING
163.105,409.525,28,PATHFINDING
162.799,409.095,28,PATHFINDING
162.306,408.503,28,PATHFINDING
161.959,408.052,28,PATHFINDING
161.546,407.549,28,PATHFINDING
161.201,407.113,28,PATHFINDING
160.837,406.667,28,PATHFINDING
160.508,406.259,28,PATHFINDING
160.179,405.856,28,PATHFINDING
159.872,405.479,28,PATHFINDING
159.571,405.113,28,PATHFINDING
